동,단지명,전용면적(㎡),전용면적 / 3.3058(평수),년,월,년월,거래금액(만원),층,건축년도,도로명,거래금액/평수
후평동,세경3차아파트,49.68,15,2022,4,202204,9200 ,3,1991,삭주로 125,613
퇴계동,유승한내들,116.6708,35,2021,8,202108,32000 ,3,2006,퇴계로 108,914
후평동,세경4차,50.4,15,2021,7,202107,8000 ,3,1994,세실로 173,533
후평동,주공7,39.3,11,2021,7,202107,10000 ,4,1989,후만로 53,909
석사동,퇴계주공4,59.99,18,2021,6,202106,16500 ,12,1998,퇴계로 242,917
퇴계동,현대2,59.76,18,2022,4,202204,16950 ,4,1994,행촌로 14,942
동내면,호반베르디움,84.9219,25,2021,11,202111,30400 ,17,2009,외솔길19번길 80-7,1216
퇴계동,퇴계주공6차,59.92,18,2021,3,202103,18300 ,12,2002,지석로 64,1017
퇴계동,현진,59.949,18,2022,2,202202,16400 ,12,1994,춘주로 150,911
후평동,석사2,51.66,15,2021,7,202107,10300 ,14,1994,후석로228번길 24,687
사농동,현대,80.934,24,2021,9,202109,15900 ,6,2002,영서로 2920,663
동내면,부영1차,84.9763,25,2021,6,202106,20700 ,10,2003,춘천순환로94번길 12,828
석사동,휴먼타운,84.89,25,2021,11,202111,25350 ,12,2002,지석로 29,1014
후평동,동아,102,30,2022,5,202205,18000 ,9,1995,서부대성로 327,600
우두동,동부,59.964,18,2021,11,202111,12700 ,3,1994,충열로 32,706
석사동,청구,59.965,18,2021,7,202107,13400 ,3,1997,서부대성로 332,744
동내면,초록지붕,84.4255,25,2021,11,202111,22250 ,11,2006,거두택지길 7,890
동내면,부영1차,84.9763,25,2022,2,202202,21500 ,4,2003,춘천순환로94번길 12,860
후평동,주공5,47.01,14,2021,6,202106,14000 ,4,1989,후만로 15,1000
석사동,석사부영,59.76,18,2021,4,202104,13900 ,12,1998,우석로101번길 83,772
사농동,롯데캐슬2단지,84.97,25,2022,1,202201,25800 ,10,2008,마장길 60,1032
후평동,현대4,84.955,25,2022,7,202207,16000 ,7,1995,후석로326번길 44,640
후평동,주공7,39.69,12,2021,3,202103,8700 ,5,1989,후만로 56,725
우두동,롯데인벤스,147.47,44,2022,3,202203,33900 ,8,2006,충열로 29,770
우두동,롯데인벤스,84.93,25,2021,7,202107,21500 ,10,2006,충열로 29,860
퇴계동,퇴계우성,84.933,25,2022,2,202202,20900 ,1,1999,국사봉길 7,836
소양로2가,소양로현대,84.95,25,2021,4,202104,16500 ,12,1998,모수물길 60,660
석사동,청구,59.965,18,2021,7,202107,14200 ,12,1997,서부대성로 332,789
동내면,산수빌,59.9516,18,2022,1,202201,13000 ,7,2005,향군길 23,722
우두동,강변코아루,146.026,44,2021,2,202102,33000 ,2,2007,새청말길 26,750
석사동,석사근로복지,46.99,14,2021,12,202112,12600 ,3,1991,효석로67번길 23,900
석사동,석사부영,59.76,18,2022,6,202206,13000 ,5,1998,우석로101번길 83,722
신북읍,소양강양우내안애,47.6264,14,2022,7,202207,10300 ,5,2012,신샘밭로 733,736
석사동,현진에버빌2차,126.25,38,2021,6,202106,45700 ,13,2005,지석로 67,1203
온의동,보배,84.74,25,2021,1,202101,15000 ,11,1992,스포츠타운길 529-15,600
동면,춘천KCC스위첸,84.972,25,2021,3,202103,22800 ,5,2009,만천로 69,912
