동,단지명,전용면적(㎡),전용면적 / 3.3058(평수),년,월,년월,거래금액(만원),층,건축년도,도로명,거래금액/평수
근화동,신성미소지움,59.92,18,2022,7,202207,25000,12,2007,근화길15번길 26,1389
온의동,한주,59.91,18,2022,7,202207,17100,11,1995,스포츠타운길 528-12,950
퇴계동,현대2,59.76,18,2022,7,202207,16000,4,1994,행촌로 14,889
후평동,동아,135,40,2022,7,202207,18000,11,1995,서부대성로 327,450
후평동,동아,135,40,2022,7,202207,14000,8,1995,서부대성로 327,350
퇴계동,이편한세상춘천한숲시티,74.6822,22,2022,7,202207,47000,21,2019,안마산로 133,2136
동내면,초록지붕,84.4255,25,2022,8,202208,24500,10,2006,거두택지길 7,980
석사동,석사동현진에버빌1차,84.921,25,2022,8,202208,31500,5,2004,지석로 97,1260
석사동,두산,59.97,18,2022,8,202208,16000,4,1997,후석로186번길 25,889
소양로2가,e편한세상춘천,84.966,25,2022,8,202208,33000,1,2014,서부대성로 33,1320
칠전동,칠전2차대우,84.9508,25,2022,8,202208,20600,4,2002,칠전서길 15-2,824
칠전동,대우,59.89,18,2022,8,202208,15500,5,1999,옛경춘로 492,861
후평동,주공7,39.69,12,2022,8,202208,12500,1,1989,후만로 53,1042
퇴계동,휴먼시아남춘천1단지,101.99,30,2022,8,202208,42200,10,2011,남춘천새길 11,1407
퇴계동,퇴계주공6차,59.92,18,2022,8,202208,20500,3,2002,지석로 64,1139
퇴계동,퇴계2주공,59.99,18,2022,8,202208,16500,13,1999,퇴계로 168,917
